dataset,index,method,metric,value,cell,cluster
100_8,0,dice,tree_acc,0.1649484536082474,100,8
100_8,0,scistree2,tree_acc,0.3917525773195876,100,8
100_8,0,cellphy,tree_acc,0.3814432989690721,100,8
100_8,0,scistreec,tree_acc,0.3608247422680412,100,8
100_8,1,copy_nj,tree_acc,0.134020618556701,100,8
100_8,1,dice,tree_acc,0.1443298969072164,100,8
100_8,1,scistree2,tree_acc,0.2268041237113402,100,8
100_8,1,cellphy,tree_acc,0.2061855670103092,100,8
100_8,1,scistreec,tree_acc,0.3505154639175257,100,8
100_8,2,copy_nj,tree_acc,0.134020618556701,100,8
100_8,2,dice,tree_acc,0.134020618556701,100,8
100_8,2,scistree2,tree_acc,0.2577319587628865,100,8
100_8,2,cellphy,tree_acc,0.2474226804123711,100,8
100_8,2,scistreec,tree_acc,0.2577319587628865,100,8
100_8,3,copy_nj,tree_acc,0.134020618556701,100,8
100_8,3,dice,tree_acc,0.1752577319587628,100,8
100_8,3,scistree2,tree_acc,0.2371134020618556,100,8
100_8,3,cellphy,tree_acc,0.2783505154639175,100,8
100_8,3,scistreec,tree_acc,0.3195876288659793,100,8
100_8,4,copy_nj,tree_acc,0.1649484536082474,100,8
100_8,4,dice,tree_acc,0.1546391752577319,100,8
100_8,4,scistree2,tree_acc,0.2886597938144329,100,8
100_8,4,cellphy,tree_acc,0.3092783505154639,100,8
100_8,4,scistreec,tree_acc,0.2989690721649484,100,8
100_8,5,copy_nj,tree_acc,0.1443298969072164,100,8
100_8,5,dice,tree_acc,0.1546391752577319,100,8
100_8,5,scistree2,tree_acc,0.2886597938144329,100,8
100_8,5,cellphy,tree_acc,0.3195876288659793,100,8
100_8,5,scistreec,tree_acc,0.3195876288659793,100,8
100_8,6,copy_nj,tree_acc,0.1546391752577319,100,8
100_8,6,dice,tree_acc,0.1546391752577319,100,8
100_8,6,scistree2,tree_acc,0.2989690721649484,100,8
100_8,6,cellphy,tree_acc,0.2268041237113402,100,8
100_8,6,scistreec,tree_acc,0.3917525773195876,100,8
100_8,7,copy_nj,tree_acc,0.1443298969072164,100,8
100_8,7,dice,tree_acc,0.1752577319587628,100,8
100_8,7,scistree2,tree_acc,0.3505154639175257,100,8
100_8,7,cellphy,tree_acc,0.3092783505154639,100,8
100_8,7,scistreec,tree_acc,0.3402061855670103,100,8
100_8,8,copy_nj,tree_acc,0.1443298969072164,100,8
100_8,8,dice,tree_acc,0.134020618556701,100,8
100_8,8,scistree2,tree_acc,0.4329896907216495,100,8
100_8,8,cellphy,tree_acc,0.3195876288659793,100,8
100_8,8,scistreec,tree_acc,0.4432989690721649,100,8
