ncell,nsite,index,method,metric,value
200,500,0,copy_nj,time,1.2938966751098633
200,500,0,dice,time,0.4140024185180664
200,500,0,scistree2,time,0.48172640800476074
200,500,0,cellphy,time,14.406295776367188
200,500,0,scistreec,time,487.5003023147583
200,500,1,copy_nj,time,1.2793223857879639
200,500,1,dice,time,0.41006898880004883
200,500,1,scistree2,time,0.5552856922149658
200,500,1,cellphy,time,15.935068130493164
200,500,1,scistreec,time,421.77204728126526
200,500,2,copy_nj,time,1.3120143413543701
200,500,2,dice,time,0.41233205795288086
200,500,2,scistree2,time,0.6501364707946777
200,500,2,cellphy,time,15.551064491271973
200,500,2,scistreec,time,537.2097160816193
200,500,3,copy_nj,time,1.2832920551300049
200,500,3,dice,time,0.41257810592651367
200,500,3,scistree2,time,0.7260737419128418
200,500,3,cellphy,time,15.902320384979248
200,500,3,scistreec,time,515.0364553928375
